,Time,Receiving team,Score,Guest team,Week,Date
19,17:00,Chabab Mohammedia,1 : 2,Difaa Hassani El Jadidi,Week # 3,Saturday 25 September 2021
20,19:17,Olympique Club de Safi,1 : 1,Mouloudia Oujda,Week # 3,Saturday 25 September 2021
21,21:31,Youssoufia Berrechid,2 : 1,Rapide Oued Zem,Week # 3,Saturday 25 September 2021
22,19:16,Hassania Union Sport Agadir,0 : 1,Wydad Athletic Club,Week # 3,Sunday 26 September 2021
23,21:33,FAR Rabat,1 : 1,Renaissance de Berkane,Week # 3,Sunday 26 September 2021
24,19:18,JSS Jeunesse Sportive Soualem,2 : 1,Olympique Club De Khouribga,Week # 4,Monday 27 September 2021
25,17:00,Ittihad Tanger,0 : 1,Raja Club Athletic,Week # 4,Tuesday 28 September 2021
26,19:17,Mouloudia Oujda,2 : 1,Maghreb de Fes,Week # 4,Tuesday 28 September 2021
27,21:31,Rapide Oued Zem,0 : 0,Chabab Mohammedia,Week # 4,Tuesday 28 September 2021
28,16:00,Wydad Athletic Club,3 : 2,Youssoufia Berrechid,Week # 4,Wednesday 29 September 2021
29,16:59,Fath Union Sport de Rabat,0 : 1,Olympique Club de Safi,Week # 4,Wednesday 29 September 2021
30,19:14,Difaa Hassani El Jadidi,0 : 0,FAR Rabat,Week # 4,Wednesday 29 September 2021
31,21:30,Renaissance de Berkane,0 : 0,Hassania Union Sport Agadir,Week # 4,Wednesday 29 September 2021
32,17:02,Maghreb de Fes,3 : 0,Youssoufia Berrechid,Week # 5,Saturday 2 October 2021
33,19:14,Olympique Club de Safi,0 : 0,Rapide Oued Zem,Week # 5,Saturday 2 October 2021
34,21:30,Olympique Club De Khouribga,2 : 2,Difaa Hassani El Jadidi,Week # 5,Saturday 2 October 2021
35,21:30,JSS Jeunesse Sportive Soualem,0 : 2,Ittihad Tanger,Week # 5,Saturday 2 October 2021
36,16:00,Raja Club Athletic,1 : 2,Renaissance de Berkane,Week # 5,Sunday 3 October 2021
37,16:00,FAR Rabat,1 : 1,Fath Union Sport de Rabat,Week # 5,Sunday 3 October 2021
38,17:01,Hassania Union Sport Agadir,1 : 2,Mouloudia Oujda,Week # 5,Sunday 3 October 2021
39,21:32,Chabab Mohammedia,0 : 0,Wydad Athletic Club,Week # 5,Sunday 3 October 2021
40,16:02,Rapide Oued Zem,0 : 2,Maghreb de Fes,Week # 6,Saturday 16 October 2021
41,18:16,Difaa Hassani El Jadidi,3 : 2,JSS Jeunesse Sportive Soualem,Week # 6,Saturday 16 October 2021
42,16:01,Youssoufia Berrechid,2 : 0,Chabab Mohammedia,Week # 6,Sunday 17 October 2021
43,18:17,Fath Union Sport de Rabat,0 : 0,Hassania Union Sport Agadir,Week # 6,Sunday 17 October 2021
44,20:31,Ittihad Tanger,0 : 2,FAR Rabat,Week # 6,Tuesday 19 October 2021
45,18:15,Renaissance de Berkane,3 : 3,Olympique Club De Khouribga,Week # 6,Wednesday 20 October 2021
46,20:31,Mouloudia Oujda,1 : 3,Raja Club Athletic,Week # 6,Wednesday 20 October 2021
47,20:34,Wydad Athletic Club,1 : 0,Olympique Club de Safi,Week # 6,Thursday 21 October 2021
48,18:16,Maghreb de Fes,3 : 0,Difaa Hassani El Jadidi,Week # 7,Saturday 23 October 2021
49,20:34,Hassania Union Sport Agadir,1 : 0,Youssoufia Berrechid,Week # 7,Saturday 23 October 2021
50,16:00,Olympique Club de Safi,0 : 0,Chabab Mohammedia,Week # 7,Sunday 24 October 2021
51,16:01,Olympique Club De Khouribga,1 : 1,Rapide Oued Zem,Week # 7,Tuesday 26 October 2021
52,18:15,Ittihad Tanger,1 : 1,Mouloudia Oujda,Week # 7,Tuesday 26 October 2021
53,20:31,Raja Club Athletic,1 : 1,Fath Union Sport de Rabat,Week # 7,Tuesday 26 October 2021
